Date           Open    High    Low     Close   AdjCl   Volume
May 14, 2018   90.80   91.21   90.04   90.40   89.98   801000
May 11, 2018   90.37   90.89   90.16   90.54   90.12   599100
May 10, 2018   90.11   90.96   89.79   90.37   89.95   722400
May 09, 2018   88.51   90.33   88.04   90.09   89.67   640100
May 08, 2018   88.72   89.11   88.24   88.36   87.95   916600
May 07, 2018   87.72   88.98   87.60   88.66   88.25   1025800
May 04, 2018   85.77   88.13   85.58   87.70   87.30   1015300
May 03, 2018   87.65   88.18   84.96   86.01   85.61   1750000
May 02, 2018   88.51   89.30   87.50   87.91   87.50   1345600
May 01, 2018   88.01   89.06   87.96   89.01   88.60   687700
Apr 30, 2018   88.90   89.76   88.32   88.32   87.91   860300
Apr 27, 2018   88.32   88.95   87.75   88.80   88.39   1017600
Apr 26, 2018   88.35   88.68   87.42   88.16   87.75   1368600
Apr 25, 2018   86.32   87.97   85.87   87.79   87.38   1097400
Apr 24, 2018   87.32   87.66   85.85   86.25   85.85   1758800
Apr 23, 2018   87.42   87.59   86.39   86.95   86.55   767600
Apr 20, 2018   87.00   87.66   86.75   87.42   87.02   1032800
Apr 19, 2018   85.94   87.23   85.73   86.94   86.54   670100
Apr 18, 2018   86.35   86.35   85.60   85.65   85.25   853300
Apr 17, 2018   86.48   86.84   85.77   85.90   85.50   1326500
Apr 16, 2018   86.50   86.98   85.81   85.98   85.58   773800
Apr 13, 2018   86.82   86.93   85.69   85.93   85.53   566400
Apr 12, 2018   85.56   87.03   85.56   86.62   86.22   828600
Apr 11, 2018   85.33   86.22   85.16   85.75   85.35   762700
Apr 10, 2018   86.14   86.41   85.03   85.95   85.55   795000
Apr 09, 2018   85.46   86.66   84.96   85.29   84.90   599400
Apr 06, 2018   85.90   86.19   84.49   85.20   84.81   936000
Apr 05, 2018   86.50   86.94   86.01   86.31   85.91   1058100
Apr 04, 2018   85.41   86.40   85.14   86.22   85.82   1274200
Apr 03, 2018   85.58   86.71   85.10   86.65   86.25   1639100
Apr 02, 2018   86.22   86.41   84.46   85.53   85.14   1627600
Mar 29, 2018   84.37   86.61   84.02   86.22   85.82   1436000
Mar 28, 2018   81.94   84.73   81.94   83.49   83.10   1489300
Mar 27, 2018   83.71   84.46   81.39   81.92   81.54   1379800
Mar 26, 2018   81.94   83.71   81.77   83.50   83.11   850100
Mar 23, 2018   82.21   82.65   80.62   80.72   80.35   720300
Mar 22, 2018   83.61   84.13   81.92   82.02   81.64   684700
Mar 21, 2018   84.12   84.89   83.99   84.21   83.82   544500
Mar 20, 2018   84.01   84.74   83.73   84.15   83.76   908800
Mar 19, 2018   83.92   84.20   82.86   83.62   83.23   490900
Mar 16, 2018   84.19   84.49   83.56   83.97   83.58   1210400
Mar 15, 2018   84.36   84.36   83.54   84.08   83.69   658100
Mar 14, 2018   85.60   85.64   84.10   84.37   83.60   548600
Mar 13, 2018   86.47   86.47   85.02   85.25   84.47   478800
Mar 12, 2018   86.72   87.00   85.18   85.89   85.11   829200
Mar 09, 2018   85.41   86.67   85.09   86.53   85.74   680500
Mar 08, 2018   84.22   85.01   83.64   84.86   84.09   629000
Mar 07, 2018   83.05   84.11   83.03   83.95   83.19   555000
Mar 06, 2018   82.57   84.47   82.04   83.91   83.15   1232700
Mar 05, 2018   80.19   81.94   79.99   81.77   81.03   541300
Mar 02, 2018   79.28   80.78   79.05   80.59   79.86   461200
Mar 01, 2018   81.00   81.00   79.22   79.60   78.88   660200
Feb 28, 2018   82.13   82.71   80.74   80.75   80.02   706400
Feb 27, 2018   81.74   82.54   81.23   81.69   80.95   1047300
Feb 26, 2018   81.08   81.72   80.66   81.66   80.92   1130000
Feb 23, 2018   78.66   80.50   78.52   80.48   79.75   1438800
Feb 22, 2018   79.32   79.66   77.96   78.20   77.49   490600
Feb 21, 2018   79.06   80.66   78.84   79.12   78.40   895500
Feb 20, 2018   78.85   80.44   78.55   78.80   78.08   1158800
Feb 16, 2018   79.92   80.30   78.86   79.02   78.30   1073300
Feb 15, 2018   80.44   80.68   78.60   80.38   79.65   876800
Feb 14, 2018   78.20   79.86   77.90   79.76   79.03   1245900
Feb 13, 2018   77.38   78.66   77.06   78.50   77.79   855200
Feb 12, 2018   77.05   78.14   77.04   77.56   76.85   1139400
Feb 09, 2018   75.22   76.66   73.83   76.11   75.42   1677700
Feb 08, 2018   77.17   77.93   74.80   75.21   74.53   1653500
Feb 07, 2018   77.52   78.65   77.24   77.27   76.57   1454100
Feb 06, 2018   74.91   78.01   72.98   77.72   77.01   2973800
Feb 05, 2018   79.59   80.98   77.20   77.47   76.77   2095700
Feb 02, 2018   81.04   81.80   80.28   80.34   79.61   1496000
Feb 01, 2018   80.31   82.16   80.15   81.37   80.63   1277900
Jan 31, 2018   82.05   83.29   80.53   80.91   80.17   1800700
Jan 30, 2018   81.49   82.22   81.37   81.85   81.11   1486000
Jan 29, 2018   81.36   82.34   81.26   81.65   80.91   1568100
Jan 26, 2018   81.40   81.40   80.77   81.36   80.62   502900
Jan 25, 2018   81.28   81.85   80.85   81.18   80.44   730800
Jan 24, 2018   80.52   81.32   79.93   81.17   80.43   799300
Jan 23, 2018   80.69   80.85   79.79   80.21   79.48   477100
Jan 22, 2018   80.40   80.66   80.11   80.63   79.90   812800
Jan 19, 2018   79.96   80.34   79.83   80.07   79.34   675600
Jan 18, 2018   80.20   80.24   78.90   79.83   79.10   1722800
Jan 17, 2018   80.83   80.83   80.32   80.46   79.73   677000
Jan 16, 2018   81.88   82.15   80.23   80.42   79.69   718800
Jan 12, 2018   80.71   81.55   80.26   81.43   80.69   923400
Jan 11, 2018   81.30   81.30   79.96   80.46   79.73   726600
Jan 10, 2018   80.40   81.38   80.14   81.23   80.49   929500
Jan 09, 2018   80.15   80.75   80.09   80.17   79.44   603900
Jan 08, 2018   79.26   80.53   79.20   79.96   79.23   848200
Jan 05, 2018   79.01   79.55   78.70   79.21   78.49   933500
Jan 04, 2018   77.64   78.96   77.54   78.69   77.97   980900
Jan 03, 2018   76.64   77.87   76.58   77.66   76.95   1013700
Jan 02, 2018   77.15   77.32   76.47   76.74   76.04   1129000
Dec 29, 2017   76.80   77.17   76.60   76.83   76.13   923300
Dec 28, 2017   76.35   76.74   76.30   76.67   75.97   469800
Dec 27, 2017   76.18   76.83   76.03   76.34   75.65   662800
Dec 26, 2017   76.25   76.25   75.84   76.13   75.44   520700
Dec 22, 2017   75.61   76.13   75.35   76.09   75.40   796500
Dec 21, 2017   75.29   75.71   75.13   75.40   74.71   799500
Dec 20, 2017   76.38   76.72   74.95   75.05   74.37   861900
Dec 19, 2017   77.07   77.32   76.01   76.11   75.42   1047700
Dec 18, 2017   77.85   77.90   76.85   76.97   76.27   772100
Dec 15, 2017   77.94   78.11   77.32   77.51   76.80   1337500
Dec 14, 2017   78.10   78.49   77.36   77.47   76.77   567200
Dec 13, 2017   79.26   79.50   78.13   78.21   77.12   695400
Dec 12, 2017   79.21   79.63   78.84   79.27   78.17   703400
Dec 11, 2017   79.20   80.14   78.99   79.22   78.12   907700
Dec 08, 2017   77.94   78.81   77.48   78.78   77.68   667500
Dec 07, 2017   78.38   78.54   76.76   77.79   76.71   1103900
Dec 06, 2017   78.74   79.17   78.13   78.32   77.23   686000
Dec 05, 2017   78.90   79.14   78.21   78.51   77.42   842000
Dec 04, 2017   80.00   80.00   78.69   78.93   77.83   1146600
Dec 01, 2017   79.46   79.72   78.75   79.26   78.16   752200
Nov 30, 2017   78.98   79.85   78.70   79.16   78.06   1094800
Nov 29, 2017   78.55   79.68   78.31   78.56   77.47   1347500
Nov 28, 2017   77.45   78.42   77.08   78.34   77.25   980300
Nov 27, 2017   77.48   77.74   77.08   77.23   76.16   405600
Nov 24, 2017   77.30   77.43   77.08   77.25   76.18   236600
Nov 22, 2017   77.37   77.37   76.97   77.17   76.10   746600
Nov 21, 2017   77.13   77.36   76.93   77.24   76.17   769000
Nov 20, 2017   75.95   77.15   75.95   76.89   75.82   1048000
Nov 17, 2017   76.00   76.18   75.76   75.95   74.89   1043800
Nov 16, 2017   76.00   76.24   75.79   75.97   74.91   901300
Nov 15, 2017   75.93   76.44   75.65   75.93   74.87   1292300
Nov 14, 2017   75.31   76.01   75.03   75.97   74.91   1073100
Nov 13, 2017   73.64   75.89   73.32   75.41   74.36   1349600
Nov 10, 2017   73.45   73.76   72.95   73.57   72.55   1196000
Nov 09, 2017   72.56   73.79   72.15   73.73   72.70   1001400
Nov 08, 2017   72.12   72.91   71.95   72.74   71.73   633600
Nov 07, 2017   71.80   72.77   71.65   72.02   71.02   1211200
Nov 06, 2017   72.22   72.46   71.83   71.97   70.97   627300
Nov 03, 2017   73.09   73.14   72.33   72.40   71.39   686500
